Formula,hse,PBE/$σ_{max}^{GSv}$,(PBE+$σ_{min}^{EN}$)-($σ_{max}^{RCORE}$-PBE),$PBE^{5/6}$,PBE*$σ_{max}^{RCOV}$/($σ_{max}^{GSv}$+$σ_{max}^{RCOV}$)
Bi1Cu1P2Se6,1.8922290000000002,1.193627829,1.63,1.123521878,0.9457236840000001
Bi4Se6,1.84727,1.236442258,2.209,1.123521878,0.9457236840000001
Al2I6,1.944867,1.192731218,1.77375,1.123521878,0.878224322
C1Cl2Sc2,1.800232,1.24067936,1.8726669999999999,1.123521878,1.005154308
Ge2N2,2.270679,1.265124973,2.3925,1.115374495,0.9566099090000001
C1F2Y2,1.9792,1.216023453,2.023333,1.115374495,0.974074157
Co2I6,1.9020759999999999,1.1835522490000001,1.7875,1.115374495,0.8705875890000001
S2Ti1,1.692282,1.203399765,2.11,1.107215192,0.9072011240000001
Cr2O6,2.852529,1.36560864,2.5975,1.099043846,0.9842220890000001
Cr2I6,2.392758,1.1514599559999998,1.7,1.090860331,0.8476773890000001
Hf1S2,1.9310720000000001,1.168891657,2.01,1.0826645190000002,0.883116138
Br6V2,1.418675,1.1653606970000001,1.93875,1.0826645190000002,0.8830612790000001
I6Re2,1.362274,1.13172653,1.69,1.074456279,0.832403923
Pd1S2,1.827494,1.15706248,2.12,1.0662354790000002,0.867059481
Cl2In2Se2,1.879028,1.18402775,1.9588889999999999,1.0662354790000002,0.913292043
C1Cl2Lu2,1.8895540000000002,1.151151945,1.8006669999999998,1.0662354790000002,0.93558474
Cl6Os2,1.634768,1.165821002,2.195,1.0662354790000002,0.87084725
I2V1,2.38631,1.113220375,1.765,1.058001982,0.817130455
In1P1,1.987739,1.1575494640000001,1.5825,1.058001982,0.913869842
Cl2Mo2Se2,2.1263389999999998,1.156269236,2.057777,1.041496343,0.8987327690000001
Te2W1,1.462067,1.089063173,1.64,1.0332239140000001,0.830731826
S1Se1Ti1,1.5608899999999999,1.118350038,1.867778,1.024938218,0.8864027529999999
O1Tl2,1.9540919999999997,1.093920457,1.04,1.024938218,0.868768542
I6Tl2,1.716045,1.057940253,1.515,1.016639103,0.77894679
C1Hf2O2,1.79558,1.112121622,1.642,1.016639103,0.905172414
Cl2Zr1,1.613429,1.099630573,2.048333,1.016639103,0.822466844
Bi2Pb1Te4,1.519684,1.056114183,1.429047,1.016639103,0.814756217
Ge2H2,1.7476040000000002,1.1133318840000002,1.9425,1.016639103,0.8559141290000001
